"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-01","6.26",,"1.22","0.0","0.0","50","53","48","  190","  200","15.0","18.1","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-02","10.74",,"0.03","0.0","0.0","53","59","38","  330","  320","23.9","30.0","    1","    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-03","18.12",,"0.00","0.0","0.0","34","39","22","  350","  360","30.0","36.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-04","10.29",,"0.00","0.0","0.0","25","33","19","  330","  330","21.9","25.9",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-05","10.29",,"0.29","0.0","0.0","36","46","30","  250","  230","16.1","19.9","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-06","11.18",,"0.00","0.0","0.0","39","41","34","  270","  270","23.0","29.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-07","18.12",,"0.31","6.2","5.9","32","35","25","  290","  290","30.0","38.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-08","13.20",,"0.00","0.0","5.1","25","31","21","  320","  310","29.1","36.0",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-09","15.21",,"0.12","0.0","3.1","34","41","29","  210","  210","25.1","30.0","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-10","18.12",,"0.00","0.0","0.0","34","41","25","  320","  320","29.1","35.1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2022-01-11","14.54",,"0.00","0.0","0.0","21","25","14","  320","  330","30.0","38.0",,,,,
